Power [dBm],navg,fc [GHz],fc error,Qi,Qi error,Qc,Qc error,Q,Q error
-30.0,98243.82427421607,6.462149160394472,1.5695661544799804e-08,556183.5326709797,2379.378056891437,129983.66165912707,81.85225444019306,114613.2265929746,83.22050624141411
-32.0,61907.28364230125,6.462149033465236,1.687387180328369e-08,554284.6283973859,2539.771271058594,130180.27434994908,88.28275916655548,114774.74284923072,89.71578215651971
-35.0,30701.679633023403,6.462149619780095,3.5225096702575684e-08,539277.089046997,3868.6691782603793,130117.04836302368,141.44154403550783,114123.68569315573,143.00482792987896
-38.0,15210.68957295494,6.462149495254109,4.28032922744751e-08,523670.0062080453,4437.16609413229,130845.3990887215,172.72617912341957,113747.67602759133,173.23857232528098
-40.0,9445.298568668699,6.462149730359736,4.6163777351379396e-08,503383.26144190435,4397.160977063823,129849.15857668192,181.9330450083071,112169.58476466661,180.97773677333316
-45.0,2860.458687408073,6.462149774380791,6.909682083129883e-08,454932.7053543774,5347.782309679918,130053.76270923285,267.6662746645161,109711.99481713497,259.579723867515
-50.0,854.8529296286814,6.462149252488747,9.34076919555664e-08,402962.32694504113,7291.705592931986,130135.23712453134,457.8211123305082,106576.34362055574,429.11421048002376
-52.0,523.708563410032,6.46214918910285,8.499171924591064e-08,379838.88192747213,4538.36464674876,130876.35265364542,319.64089514355874,105174.38217769178,294.2631523375312
-55.0,251.1521870065909,6.462149651014796,1.075461778640747e-07,349294.2672138948,4823.479364042378,130739.06568410524,394.88600849887007,102640.99854499933,354.3811063772737
-57.0,152.78973283786743,6.462149851304961,1.206252489089966e-07,327094.13439659344,6121.898482899627,130272.55008815687,562.1782700691256,100538.86070645406,494.24913353474403
-60.0,73.08467583261778,6.462149891199867,2.105706195831299e-07,302021.00082182983,7003.077423555572,130985.40043212564,747.7537766515452,98372.33781695236,639.3838702494832
-62.0,44.988782681470376,6.462149173412575,2.651615877151489e-07,290047.61178590736,8080.77980099937,130237.76463765228,914.529268096434,96420.56215798554,770.3392951043061
-65.0,21.37426353274185,6.46215001867134,1.8676810932159424e-07,266704.54180477624,6182.256455965069,130111.75514738764,816.1250496414723,94024.39913786232,666.7744273086428
-67.0,13.04917041684158,6.462149908915583,3.1611835289001463e-07,253837.72605819412,7311.0903530987425,130986.7381223991,1059.1927602935175,92536.43016094883,847.5452882980462
-69.0,7.88856559649867,6.46214964912382,3.920867214202881e-07,238600.32294714038,7965.968987635253,130712.17369748915,1271.9210973888112,89927.32979357753,991.7694484093081
-70.0,6.26775644115516,6.462150006285129,1.891397476196289e-07,238689.20449042905,4985.7137162968365,129637.16629316224,792.8503966172284,90015.62393996482,620.7282530937955
-72.0,3.8575547645093757,6.46214979446114,2.3046545219421387e-07,230509.20285510542,5662.192638401684,129247.52794712975,948.7482637523499,88505.61667569555,732.6521915280609
-75.0,1.930295899483546,6.462149445801376,4.3864631462097166e-07,230003.5847170811,8328.103086914549,129190.67022162625,1393.6892155337555,88240.5819717868,1076.7025116166333
-77.0,1.1870011930502407,6.462149106889057,4.0952290534973147e-07,222042.43827835258,9339.758904785487,128416.74419409406,1639.7898408334004,86501.42868562366,1247.1149751906923
-79.0,0.7809183471758288,6.462149287478503,5.181798210144043e-07,235218.83845693516,13356.038646472514,130224.89344799085,2185.9002809145313,89528.44233917502,1696.9522520972241
-81.0,0.48390725834259835,6.4621498872059995,8.004213275909423e-07,229373.02818361137,15100.941097026065,129850.76795594316,2582.6008647033013,88848.9825380233,1991.370699686624
-83.0,0.3002091594751222,6.462147989544345,8.01959792137146e-07,224116.2309769186,18712.197606224094,127616.47964426182,3167.066467436758,85890.13182495233,2414.2147714767634
-85.0,0.18411626354269878,6.462149751477799,1.3880944051742555e-06,215713.64609357418,23693.533775967033,122181.21636257858,4058.795419989954,83478.0403384516,3117.859040890209
