5980035830.982477,-16.3844776154,72.3848114014
5979934725.330817,-16.2229595184,73.04631042479998
5979861410.461582,-16.1035690308,72.3948974609
5979805790.4295845,-16.2615890503,74.1142349243
5979762131.290774,-16.4055404663,74.1471939087
5979726934.969567,-16.3472442627,74.4167709351
5979697946.251314,-16.4762363434,74.92489624019998
5979673645.825811,-16.4622993469,72.8620300293
5979652972.756389,-16.5344295502,73.4772415161
5979635163.737999,-16.2097072601,74.3838043213
5979619655.564616,-16.4461860657,75.0333862305
5979606023.590782,-16.3568572998,74.7923202515
5979593941.587846,-16.1643295288,73.7630004883
5979583154.792308,-16.3792095184,75.3406677246
5979573461.351161,-16.248462677,75.3586502075
5979564699.26272,-16.4830055237,75.09381866459998
5979556737.003336,-16.3314285278,73.87656402590001
5979549466.680828,-16.4747104645,76.1487045288
5979542798.954148,-16.4552974701,73.91645812989998
5979536659.209623,-16.4172382355,75.3338470459
5979530984.645505,-16.5607089996,75.41355896000002
5979525722.022724,-16.4030685425,74.87481689450001
5979520825.910719,-16.4485263824,74.30111694339999
5979516257.305727,-16.6213207245,75.7684249878
5979511982.532442,-16.3460655212,76.20433807370001
5979507972.363434,-16.3623447418,75.4411849976
5979504201.3076105,-16.4102802277,76.512840271
5979500647.031026,-16.5242156982,76.5623855591
5979497289.88216,-16.7176856995,75.9316177368
5979494112.50036,-16.7250270844,77.0854034424
5979491099.490886,-16.4364128113,76.9125289917
5979488237.15375,-16.6053600311,77.0594329834
5979485513.256212,-16.7239265442,76.3018112183
5979482916.840943,-16.7264862061,76.87181091309999
5979480438.063517,-16.7472286224,77.6678466797
5979478068.054112,-16.5035266876,76.4004058838
5979475798.799331,-16.6780281067,77.4231338501
5979473623.04078,-16.6008739471,78.469291687
5979471534.187727,-16.5099506378,76.9400634766
5979469526.241594,-16.8470020294,78.8347015381
5979467593.730456,-16.6751213074,79.2189025879
5979465731.652028,-16.7557811737,78.8805007935
5979463935.423892,-16.7148036957,77.7901077271
5979462200.839905,-16.6621665955,79.15042114260001
5979460524.031923,-16.8179340363,78.41839599610002
5979458901.436077,-16.7446956635,79.4573516846
5979457329.7630005,-16.6602783203,79.53843688959999
5979455805.971472,-17.1105709076,78.9628372192
5979454327.245019,-16.8578948975,78.5357894897
5979452890.971111,-16.9590091705,80.0498275757
5979451494.722601,-16.9190273285,79.32630157470001
5979450136.241146,-16.8755092621,81.7735061646
5979448813.422363,-16.7002506256,79.1876983643
5979447524.302502,-17.1092758179,79.5972061157
5979446267.046467,-17.2157726288,80.6158676147
5979445039.937032,-17.0868244171,81.6787796021
5979443841.365098,-17.2426605225,81.2248077393
5979442669.82089,-17.0722389221,80.3209228516
5979441523.88598,-16.9324092865,80.0696182251
5979440402.226058,-17.1555690765,79.3948364258
5979439303.584348,-17.3542251587,83.1304779053
5979438226.775631,-17.2081375122,82.86031341549999
5979437170.680778,-17.4297332764,82.922492981
5979436134.241776,-17.3086414337,83.5965194702
5979435116.457166,-17.6220016479,83.7714538574
5979434116.377863,-17.6684360504,83.2928543091
