Power [dBm],navg,fc [GHz],fc error,Qi,Qi error,Qc,Qc error,Q,Q error
-30.0,222713.67505913836,6.0679193141033085,1.154427719116211e-08,1136517.001481187,7598.298957816728,256412.11460774232,208.1656046390126,209211.5850973151,217.0000342670537
-32.0,140734.36945948633,6.067919432124693,1.6430222511291504e-08,1141177.908183802,8412.253124305593,256426.56981883262,228.65979226579657,209379.50549345705,238.65013188571902
-35.0,69797.8411600835,6.067919381921341,2.0107590675354005e-08,1109362.8856038763,9729.455117605785,257202.05755673812,280.3947395509749,208794.87521148557,290.931123393937
-38.0,34341.06763011483,6.0679193193305885,2.481526470184326e-08,1057079.8563652234,10936.986878207243,257714.4513265059,346.12904098880244,207200.28559025665,355.6894128063577
-40.0,21351.322074709016,6.067919442494328,3.005055046081543e-08,1018559.22315273,12191.745604739108,257647.78641758056,413.5073984012124,205632.59913364402,421.3549979464733
-45.0,6455.315921635148,6.067919424349591,4.1556376457214355e-08,915200.6850270912,13560.4807898743,257594.67616680454,560.8209826271923,201016.74194340562,557.9749164050445
-50.0,1922.9935639739667,6.067919436131648,6.716220378875733e-08,803854.7520866737,16853.940602831917,257212.45032652674,882.5415050037554,194862.63152211922,851.0500553057063
-52.0,1166.4340077087618,6.067919459790005,4.934211158752441e-08,742729.092961534,10595.31558419811,258388.81830999357,645.9042547738936,191698.68066720877,609.741217080882
-55.0,556.1930593530425,6.067919456793301,6.756869888305664e-08,676268.795239049,11908.994147169842,257619.90394135538,856.3877340040635,186554.50617359387,787.1587741292024
-57.0,332.85122373382404,6.067919789432105,8.311294269561768e-08,616190.8320128726,12046.077808066737,257462.38821489445,1023.4250501583447,181589.89529027403,913.9270879094547
-60.0,156.0131021678896,6.06791968300527,1.1512773609161377e-07,552191.4023516771,13279.298864303599,258014.91719503806,1377.1382968957187,175848.69978803248,1185.0875714020513
-62.0,92.78377087009522,6.0679199798387105,1.465072021484375e-07,504440.76727043773,14154.88220960789,256710.16399796898,1704.9611464958289,170130.69483855172,1425.3527334477403
-65.0,43.58540522677011,6.067919019375109,1.407504587173462e-07,459553.8229605183,11181.572045724472,257082.79065762402,1589.381083195709,164860.634823357,1282.0185566828586
-67.0,25.584283210813826,6.067919240019115,1.888009510040283e-07,416760.4870949738,12241.568050873751,257164.30189962196,2061.831027013104,159032.51910367148,1598.6437104318175
-69.0,15.100343325948923,6.067919208004408,2.5857320404052734e-07,382668.1029491237,14051.72392508107,258514.60290188072,2762.158786101645,154287.24301004608,2061.5197797404544
-70.0,11.94880992653321,6.067918934020043,1.0901229667663574e-07,380849.8800678221,7551.335968409429,258565.3243228121,1498.9282299323822,154009.81188950004,1114.47964345137
-72.0,7.270273251452665,6.067919023416419,1.9102633094787596e-07,364259.17960654275,9386.591048210803,257718.48149980113,1994.8360206127109,150932.18382013257,1459.1279835975438
-75.0,3.427358092589106,6.067918669809429,2.8163418579101564e-07,338766.6453163894,11893.659113589949,257713.27884110357,2855.2443958878866,146367.82736940865,2020.2408331898914
-77.0,2.037068741393217,6.067918742951032,3.5220897388458254e-07,316484.7138666966,12943.358199124292,260428.87331575176,3537.535919644666,142874.11676373344,2413.4669896368287
-79.0,1.2846562844676455,6.067918461837945,4.638435354232788e-07,316306.7169070067,17176.07784658966,256218.196112328,4574.669444772473,141555.56115343812,3143.8834073153557
-81.0,0.780757210648393,6.067919353208666,4.2046154403686524e-07,303488.78262121166,18276.0646203066,259158.7767575671,5327.189318553079,139790.35801698713,3554.2558510265953
-83.0,0.4683991369053103,6.06791846213982,7.804898672103882e-07,287461.2527393398,24390.807756776867,249961.19990207834,7286.703417864512,133701.57910854343,4847.113094997156
-85.0,0.31238636735236064,6.067918841643136,9.582216653823853e-07,305156.0647169488,33285.14139461224,251499.24266464976,9153.091329216637,137963.14102806526,6222.557009531854
