Power [dBm],navg,fc [GHz],fc error,Qi,Qi error,Qc,Qc error,Q,Q error
-30.0,171754.80203497337,6.574012834789713,2.286159133911133e-08,1014497.992279934,8608.879092641102,234028.73862593595,280.1506331767596,206794.6787525828,298.4513605477987
-32.0,108559.56444969446,6.574013076989867,1.6741801261901854e-08,1019248.7540694737,8259.232805556876,234725.6821515587,267.95997373145656,207516.2642010199,285.65427762037143
-35.0,54254.72297954796,6.574013413397981,2.051866626739502e-08,1011568.7189980395,9975.720631601738,234195.81309293382,326.9663150384731,206837.34267094076,348.0813634582737
-38.0,26985.19325210845,6.574013511135333,2.6345422744750977e-08,991409.7495750829,9481.487029538393,235734.91300721082,326.1683058218623,206925.4935809862,345.3610504454409
-40.0,16794.65655899128,6.574013621948279,3.213345241546631e-08,956941.3446594073,10799.561504361438,236060.38409914056,398.01507055282127,205720.21782146694,418.2586229912995
-45.0,5112.008227911946,6.574013670565972,4.90233793258667e-08,871474.5968043666,13543.915845053085,235762.73709495252,592.3284210131096,201234.94081245575,608.5824426013569
-50.0,1518.4684956009144,6.574013615606048,8.778679370880127e-08,757680.8295313164,18315.670382882436,238007.6729888196,1057.7160329022154,196472.16158250763,1048.2667271598475
-52.0,935.4744262641457,6.574013475700037,6.041926765441895e-08,720973.1608582197,11390.48137704197,236538.28666897392,710.690517855488,192763.94417619435,694.9944163383043
-55.0,455.8869340206709,6.574013758083534,8.134097480773926e-08,681706.2981195581,13555.880242976162,236556.99805199506,934.3449847140582,189484.66785579684,897.2431543196144
-57.0,278.67986766757684,6.574013684114097,9.867858982086181e-08,641640.6419210016,14624.76068373181,236736.97713376093,1127.3920888017747,186591.00014328407,1064.3750261166424
-60.0,128.0346957529404,6.574012697809963,1.4894033813476563e-07,550135.9314657439,15952.743831017306,233815.69918116173,1593.8546900950605,177019.48310193417,1435.00536593984
-62.0,79.2854814084529,6.574013379551231,1.4612595176696777e-07,533322.6158108214,19060.265859436047,235830.78564145477,2042.5143891663756,176251.92133764963,1813.9143206549925
-65.0,36.122235834058124,6.574013449442182,1.8000821590423583e-07,459704.3833171249,13316.38840075745,235129.4945155524,1829.0666104202392,166444.4064631897,1538.3771214657463
-67.0,22.034602195465535,6.574013238189621,1.7019290161132812e-07,437610.0277389757,14732.957331826277,233448.2537837041,2195.7217244565254,163374.22091650518,1813.9853752858762
-69.0,13.31376711521379,6.57401306384021,2.3786388874053955e-07,411748.73195494054,18206.427982923895,232965.5868496183,3000.04488399846,159338.0213060643,2419.5834538547497
-70.0,10.477475112162468,6.574013092152329,1.3182669162750244e-07,406513.5569704564,9766.35117174715,237011.62161385777,1677.0253451879835,159356.22860289883,1335.2278507433948
-72.0,6.3780057989150265,6.574012924601111,2.2642414951324463e-07,387336.23328724474,11776.408389112788,238321.95391475712,2227.591097049939,157460.45590206046,1739.7497288611194
-75.0,3.1042980939896503,6.574013076829351,3.4883592319488526e-07,372735.1232247828,16729.434164822498,238500.1149616909,3347.505227931455,154068.24944344058,2562.0611752395052
-77.0,1.8037459160257612,6.574013156820127,4.1070239734649657e-07,336083.0399512308,16101.693907343852,232233.6932436956,3675.1647516353405,145383.87946324912,2716.8613379654125
-79.0,1.165737132283018,6.574013403243802,4.2081027698516847e-07,346143.4626635336,22562.71254351065,230630.52345287555,4956.0738297418575,148251.06813018315,3717.7928909519105
