Power [dBm],navg,fc [GHz],fc error,Qi,Qi error,Qc,Qc error,Q,Q error
-30.0,121561.48448498205,6.627705581709921,2.7420209884643553e-08,491863.05239355686,2267.7877899196537,259118.55432277068,292.3949004212918,169739.38233878877,239.17317439412
-32.0,77225.52225026432,6.627705827557475,1.7751500129699708e-08,496769.12669178157,1948.485363025975,259983.1718527472,248.1577027090825,170682.843244474,203.64924291046918
-35.0,38644.12198748153,6.627705808862232,3.208037376403809e-08,495641.0660662403,2711.2592181460113,261112.98843519329,349.03459137046593,171034.8405686098,286.0329064450052
-38.0,18975.25404672782,6.627706028529033,2.9718393325805663e-08,481211.76948089496,3054.1769117058475,258906.31605261783,408.39130011972156,168347.93983606138,331.53875402378617
-40.0,12026.056908463257,6.627706442297331,4.621676254272461e-08,484291.8647397156,3750.690681377872,263390.72674002167,509.8010595429223,170622.35003366513,413.50693505164236
-45.0,3605.5012616642407,6.627706559455289,7.350640773773194e-08,449450.6192886414,5117.33273342862,262515.5011203602,787.209982372704,165737.5635697621,621.124028993363
-50.0,1057.1204833558272,6.627706265532197,1.227039213180542e-07,406605.8545864821,6902.7190500724455,258770.9516390249,1232.9365600351884,158149.80792714408,937.2756882416143
-52.0,649.4489496617673,6.627706274997441,7.841166114807129e-08,393053.3397700234,4095.0859454365714,260783.27263667143,785.2699723008263,156789.2356091907,586.5718496433401
-55.0,305.50032690141825,6.627706442405858,1.1515027332305909e-07,363581.2365906181,5162.427259613697,260696.101949041,1127.8812694597873,151844.65471775972,815.1116295978136
-57.0,177.3757216622111,6.627705755210004,1.6286771869659424e-07,329918.391473522,5969.115939668361,261180.6744640862,1539.2638044390478,145793.03167805262,1062.452890382614
-60.0,86.25458412251857,6.627706657243935,2.0697858047485353e-07,318892.22921897646,7048.476751257211,262729.8117581275,1941.5100228154915,144050.53147312842,1314.5157973797177
-62.0,50.458165274975826,6.627706410293199,2.8220915222167967e-07,293644.1644430859,8095.3966907891845,264814.374125079,2585.1458544126363,139244.3391876548,1674.1438227076142
-65.0,23.691825369197563,6.627705976215897,2.676370496749878e-07,274246.0167299823,6658.680508718043,258826.2631728313,2296.4856505052594,133201.02593586096,1448.4412917403097
-67.0,14.353220941664906,6.627706526051268,3.3122468662261964e-07,263128.12998398475,7585.669760649578,255844.73024767262,2746.05701333622,129745.23293492993,1703.9031438539096
-69.0,9.16264003513612,6.627706198742577,4.139169311523438e-07,266252.08045741153,9761.813046864117,258632.568655566,3522.2115184328286,131203.03858393198,2190.361765781272
-70.0,6.97615066218698,6.627705924887461,2.408929290771484e-07,255172.41857995663,5164.751704625785,259303.3245906973,2006.19067366526,128650.97504358298,1216.5348234687262
-72.0,4.436332338281996,6.627705998821701,3.1804231071472166e-07,257171.33522471413,6933.385373038822,261281.5950526826,2690.4499000278593,129632.00119059981,1632.5619226564304
-75.0,2.0502290321746406,6.627706828930565,3.488291473388672e-07,237581.1643270159,8364.855931838027,257879.16027142896,3614.7791326199076,123661.82773328121,2108.3187652769557
-77.0,1.307613027331906,6.627706960455127,5.913720121383667e-07,240052.16214829238,11367.46881990807,260126.79334842775,4878.156005876401,124849.37602371792,2862.215020806325
-79.0,0.7906479279791666,6.627706028086135,5.926675310134888e-07,230495.39582019064,13366.42001179312,259701.9120946974,6134.624657479639,122164.95318677032,3501.2672679440293
-81.0,0.4833757411541699,6.627706329955547,9.008121643066406e-07,223774.20397660314,15065.504239858132,249329.82048208136,6782.240270036913,117936.01413146031,3899.8498898123216
-83.0,0.29846039000783375,6.6277072279150255,1.1608052940368653e-06,219327.63330105096,18888.257889949844,255350.333646367,9082.356956593401,118010.80144752121,5112.955641245804
-85.0,0.1719169029486476,6.627707203945657,1.2835781946182252e-06,201948.21142116707,22609.142496983495,236766.3997940496,11110.412987090705,109032.8157375368,6155.765562087661
