Power [dBm],navg,fc [GHz],fc error,Qi,Qi error,Qc,Qc error,Q,Q error
-30.0,160072.1554965753,6.57401078457441,1.8700345039367676e-08,843744.708000024,6260.174273674231,235701.55726461217,290.8564339285076,199935.99522080793,296.8568816811021
-32.0,101103.13099692044,6.574011039327134,2.416873073577881e-08,845745.5663580551,6330.844039973752,235880.37576407185,293.05100502012647,200144.14026500244,299.39890607394045
-35.0,49852.57204711171,6.574011132020291,3.223496150970459e-08,815148.0041160646,7773.788975611523,235131.40817586397,383.3204190948163,198009.14710707817,388.16046861946234
-38.0,24325.919099811912,6.574011473163171,3.263222599029541e-08,768981.1459155395,7007.21394405277,235274.73408616858,384.67883127977257,195162.56254509024,383.3962667036394
-40.0,15118.859775656549,6.574011816911782,3.923241138458252e-08,744944.6809777519,7922.916341875121,235802.31591774867,462.0251580484619,193720.37838690006,456.2381377481506
-45.0,4500.624709034972,6.574011674231452,6.149851703643799e-08,660623.8262399129,9626.19850551788,236549.02008759804,701.5627707304666,187792.66120285157,667.9979910880793
-50.0,1305.9608155797694,6.574011790158435,1.0170955467224121e-07,566059.8777974253,11624.08029663023,237253.62256418532,1125.0631318370288,179860.45113652875,1019.3376641240902
-52.0,788.9922399131941,6.57401188167697,6.877566623687743e-08,526735.1488410486,6758.470621392598,236363.1355816236,738.9443646721775,175302.57486815963,653.2625802986149
-55.0,369.8556708930983,6.574011669318321,9.629561614990235e-08,474545.04523725016,7603.816454305247,236708.9743259178,1002.890272770077,169456.34231179237,852.7965675613959
-57.0,224.75923911379599,6.5740115574,1.2719415473937987e-07,448897.57184594125,8992.400075615484,238033.32785259758,1314.2497132039862,166383.95219619715,1091.9843626258953
-60.0,107.91205886491606,6.574011260274722,1.699445562362671e-07,422280.9080935495,10589.638149278317,237235.1038711361,1715.1751848756976,162525.00753696336,1392.5374365483876
-62.0,64.77817502674873,6.574011860303057,2.1975381469726562e-07,394497.46463180444,11863.325989322646,235730.3258940325,2129.6234140675515,157273.40615401606,1681.2322699254437
-65.0,30.27768156222585,6.574011848573292,1.592774419784546e-07,360292.82191147766,9193.475557748849,236386.45941343217,1933.1181252742826,151658.91355850737,1462.2597652676923
-67.0,17.83217103838079,6.5740112827893835,2.83319730758667e-07,330964.563376969,10593.170054420592,234094.70623611554,2544.9521921921405,145966.2381096575,1860.2044120842475
-69.0,10.96244187352146,6.5740114313003,3.6843205165863037e-07,320865.95852641435,12959.994701792815,234916.03971087513,3294.097430714959,144201.09006990152,2369.6210370453773
-70.0,8.608724390658976,6.574011484603782,1.5165183353424072e-07,316577.617889363,6696.901654689653,235332.43691796158,1745.781306016259,143431.83569207563,1245.5890940290992
-72.0,5.327953038402724,6.574010955526738,2.6438450145721437e-07,309547.4240212063,8611.372732050406,235030.18436685437,2335.7200749579933,142288.54158540026,1651.7582245566882
-75.0,2.5937285440529667,6.574011222193822,3.1024705123901365e-07,299398.14837901515,12207.643482778934,229737.94397534837,3389.132574141666,138588.77417268718,2374.297523167741
-77.0,1.6004748141752136,6.574011713357653,4.6500067234039305e-07,291973.0325959791,13517.364502346069,232034.20938085116,3936.4680233555555,137184.78747223635,2718.0666387882957
-79.0,0.9740740791069831,6.5740115031964,4.931341800689698e-07,280548.91375271545,17052.87533199558,229830.58407584945,5173.1628096427885,133116.76457225083,3502.1465812409588
-81.0,0.5910643970936743,6.574011104272593,6.558650779724121e-07,268936.21975340357,20678.28819186836,231836.61253492188,6960.258217060269,132366.48639705323,4585.581918102165
-83.0,0.3693960686712566,6.574011144056971,1.0724671602249146e-06,266211.43911680544,26513.679154734346,228869.7124406806,8852.722870523925,130961.31600740927,5882.915980262071
-85.0,0.2226236646113822,6.5740102330359305,1.356651349067688e-06,253678.99409987679,29875.199047916813,229571.86461234142,10902.201654892473,128278.83431038323,7025.061132937073
