Power [dBm],navg,fc [GHz],fc error,Qi,Qi error,Qc,Qc error,Q,Q error
-30.0,101484.54851654689,6.462149558744413,2.121641731262207e-08,607632.3999096627,3855.3646601247247,130006.7526455868,112.3611596414703,116658.51374238687,116.42881615551596
-32.0,64130.72416198897,6.462149949759614,2.4078043937683104e-08,610287.3062646023,4419.163087045561,130252.89274458794,128.28149873009534,117019.77316394266,133.12419034731283
-35.0,31992.794899041404,6.462150043153695,2.440924549102783e-08,602325.5255973681,4360.461035890727,130394.72771135485,129.94880362448748,116814.94053446203,134.50896796146117
-38.0,15923.125297481798,6.46215055266225,4.000767803192139e-08,590720.9429040229,5291.185810185161,129934.25581112535,162.50243630685145,116064.26641828926,167.68400049478805
-40.0,9962.910828556543,6.462150737134837,4.449395656585693e-08,577273.7437337028,5615.1051707029765,130574.68929349193,181.71088030011742,116018.34164688893,186.53956340317382
-45.0,3051.231738618901,6.4621509877680845,5.408417320251465e-08,530664.3262696743,7451.067293353898,129989.42450765791,279.96696483093547,113590.15551430693,282.1156373559061
-50.0,932.09804240253,6.462150916865468,8.466140747070313e-08,487472.75566232763,9804.073393861547,130542.9070258454,434.16499307227787,111748.75757057389,428.30024790500465
-52.0,570.9183958027735,6.4621505827580386,8.182718372344971e-08,455157.9876459768,6369.634455519738,130342.43449066738,319.3008932984376,109866.40574426176,309.9537828872999
-55.0,276.28371171523315,6.46215033011524,7.911422252655029e-08,421614.8847257652,6786.716473528582,129918.84720505725,390.3862982003193,107641.86582029052,371.08164271485293
-57.0,167.83355908442394,6.462150498642686,1.1990672397613526e-07,389930.971932679,6743.523116441046,130522.04190051123,449.8677781072038,105625.48581500154,417.65877953282325
-60.0,80.82936080810065,6.4621502461759395,1.8735820198059082e-07,360880.2231632718,8987.6966516204,130425.46411606813,691.8248997980263,103550.24324145947,627.9763210702658
-62.0,49.77158930099767,6.462149861472683,2.4106838989257813e-07,344908.42969576316,10540.370596271263,130167.16667423934,878.2667434175964,102100.23949034489,786.2861495540274
-65.0,23.10668839537046,6.462149984550731,1.8706508541107176e-07,301883.2246337815,8013.18030796343,129375.91454958591,841.3078867117583,97663.15910897433,720.2745355460356
-67.0,14.25083305890573,6.462151195262189,2.4566372203826905e-07,290811.7587405502,9768.270399227307,129554.00511070789,1091.9801133503497,96262.27725639117,922.5815840372088
-69.0,8.936294298925104,6.462150445602799,3.6211469650268557e-07,287928.6765319216,10890.154944777742,129876.33721684448,1250.0922333252965,96389.28145608402,1053.215026343445
-70.0,6.853139014704496,6.462150958590709,1.690330047607422e-07,272399.86063183827,5865.894964058295,130552.10128991077,744.3253063535667,94526.15265660909,612.5437255160941
-72.0,4.219260238889081,6.462151384845536,2.1807117938995362e-07,262377.75054491026,7011.60574714916,129991.9248323006,945.5911835730658,93175.7227696177,768.8016334764543
-75.0,2.0140336108590495,6.462150746740748,3.1172397232055665e-07,244194.04150978677,8628.482190404187,130094.27524041939,1319.3269103249186,90698.77066343481,1040.6810047174222
-77.0,1.2466819595106582,6.462150585332827,5.342111549377442e-07,237618.38286796675,10800.477548395862,130788.9372206117,1745.7248508169723,90072.44548410579,1361.03254071642
-79.0,0.7619263019842462,6.462149447052641,4.991545333862305e-07,227293.1991689786,11906.461940265754,129764.7794757067,2029.5171148306108,87477.59497213487,1550.0972002822964
-81.0,0.480378568613361,6.462150398742797,8.514330968856812e-07,227056.54381189073,15910.168385011899,130187.95270656738,2774.0247012168693,88538.53366412871,2129.6371365382074
-83.0,0.30819943859038884,6.462150461061697,7.960610065460205e-07,232359.84902511933,20126.362568239332,127812.27889042402,3255.833315071446,88049.74054934275,2533.3389027499506
-85.0,0.1927799387463705,6.462149372815166,1.2983781585693358e-06,229576.42075562666,24885.1434833695,129908.21836922284,4112.309800987132,87257.36667984274,3162.786447874343
