Power [dBm],navg,fc [GHz],fc error,Qi,Qi error,Qc,Qc error,Q,Q error
-30.0,224485.72183002662,6.0679197037203805,1.940808582305908e-08,1155418.2974899753,10203.765829648697,257176.23687230205,272.38156395289116,210354.86725233193,284.91823003435275
-32.0,141456.580317213,6.067919713619862,1.5144195556640624e-08,1151299.340652206,10241.820797934937,256132.58551937516,273.29589597979793,209520.09923618066,285.6768905101344
-35.0,70645.30619436,6.067919982766812,2.0780916213989258e-08,1140218.979202101,10685.967754476502,257427.78999631022,292.873568135401,210013.07788359167,305.6546926650626
-38.0,34976.68812180171,6.0679202856396195,2.305670928955078e-08,1103488.7430973118,11136.098777941732,258554.15425785133,327.0293022788828,209473.28424156507,339.04882051292225
-40.0,21827.727523522823,6.067920439477972,2.9005470275878907e-08,1072247.5771173737,13096.650381647303,257216.38220357124,402.2473899773904,207451.82391056913,414.56835829099873
-45.0,6671.740437023864,6.06792015791969,4.5534643173217774e-08,984933.3425460927,17283.234245921994,257612.981753825,623.717837005941,204203.01450931202,631.1316334091825
-50.0,1998.2845607214035,6.067920232149251,6.948220348358155e-08,869373.4696155944,20461.750834596605,257334.61324441587,928.4911567057716,198561.69536064687,913.0829262277693
-52.0,1208.829199807885,6.0679195761277045,4.935708141326904e-08,795233.6445729096,12189.852916964146,256803.25503084375,648.8652738843521,194117.33067386365,624.5861800128187
-55.0,577.4849670746315,6.067918958210082,6.567043018341064e-08,723403.5518392896,13325.645262094687,257059.31365019907,844.7011500766093,189663.38467598349,792.2130414431449
-57.0,347.94260562200265,6.067919103861921,7.491532611846924e-08,664305.7600021159,12660.676711109127,258307.35720170656,945.1642973440757,185988.11296193927,863.0001805742504
-60.0,166.03981533206414,6.067919165097082,1.0618636989593505e-07,610052.1573646965,15113.066378113981,258191.95844550594,1313.280790142977,181412.7613138754,1168.656221317622
-62.0,100.3355912523876,6.067919090316325,1.4680700969696045e-07,568223.4998183736,18200.152758823202,257933.57625672763,1790.239923360874,177413.33677268837,1559.0475295621436
-65.0,46.36172150791607,6.067919174056088,1.3298884296417237e-07,501475.0603648309,12583.270705089903,260186.75726934453,1568.3349564046657,171306.98446151277,1301.5398391860072
-67.0,28.438274445241653,6.06792000114394,1.649918336868286e-07,481298.8587565113,14378.057410641439,259296.19261064733,1913.8589851506695,168511.76579194548,1566.227293858392
-69.0,16.369074927785363,6.067919371036812,2.3913474845886233e-07,424085.49928324274,16133.905540129424,256868.79189798652,2629.345972155046,159973.9982323438,2056.8472627422016
-70.0,12.738448750524894,6.067919316812719,1.346974506378174e-07,412813.22377583385,8531.98834599419,257976.45561760454,1468.8394580302702,158764.7698345078,1132.7454567530367
-72.0,7.664245985581458,6.067919743859905,1.3096175193786622e-07,388468.2341941698,9473.112985634054,258607.1408562775,1817.9724487399799,155254.02651454983,1363.8740409951715
-75.0,3.5567780861202842,6.067919310055297,2.61672474861145e-07,353649.54177544155,12089.929971398848,259463.48804353861,2730.767429552914,149665.01781671715,1965.4640414176974
-77.0,2.1179798057571957,6.067917018843638,3.4920940113067626e-07,330595.54600103374,14047.218261653774,258021.3865356752,3519.008561145427,144925.3881595385,2460.709645786148
-79.0,1.3234260827690068,6.067918901500773,4.409543809890747e-07,326954.40205281146,17560.027697737427,259082.15598616478,4503.106476473215,144573.49539541733,3134.279487732332
-80.0,1.0055142719343964,6.0679186927078765,3.743475322723389e-07,311069.8676656301,17031.444432634766,257317.56412426924,4717.161581001012,140826.1061253739,3191.886520597036
-81.0,0.7977058666883038,6.067918482732949,4.2679045009613037e-07,310638.70543195563,19643.539343102926,257285.11737148618,5438.768856018869,140732.085977919,3688.822848841897
-83.0,0.4468275056281681,6.0679182102205695,8.104315710067749e-07,273590.48963835265,22383.355980528802,243508.7498218803,6993.114701978746,128838.42045756218,4561.475714425193
-85.0,0.28020701328744857,6.0679174579330475,1.0192736673355102e-06,271868.97044218745,28090.911043668933,252082.48464217508,9344.243477066717,130801.24462836704,5995.927283816447
